CODGEO;LIBGEO;DENS;LIBDENS;PMUN13;P1;P2;P3;P4;P5;P6;P7
01266;Montrevel-en-Bresse;5;Bourgs ruraux;2441;0,0;0,0;0,0;0,0;70,4;25,4;4,2
01267;Nurieux-Volognat;6;Rural à habitat dispersé;1025;0,0;0,0;0,0;0,0;0,0;94,1;6,0
01268;Murs-et-Gélignieux;7;Rural à habitat très dispersé;250;0,0;0,0;0,0;0,0;0,0;44,8;55,2
01269;Nantua;5;Bourgs ruraux;3524;0,0;0,0;1,8;0,0;91,0;6,9;0,3
01271;Nattages;6;Rural à habitat dispersé;569;0,0;0,0;0,0;0,0;0,0;85,5;14,5
01272;Neuville-les-Dames;5;Bourgs ruraux;1492;0,0;0,0;0,0;0,0;49,5;25,9;24,7
01273;Neuville-sur-Ain;6;Rural à habitat dispersé;1610;0,0;0,0;0,0;0,0;0,4;93,4;6,2
01274;Les Neyrolles;5;Bourgs ruraux;636;0,0;0,0;0,0;0,0;97,9;0,0;2,1
01275;Neyron;4;Ceintures urbaines;2497;0,0;0,0;0,0;95,0;0,0;4,2;0,8
01276;Niévroz;5;Bourgs ruraux;1524;0,0;0,0;0,0;0,0;87,6;9,2;3,2
01277;Nivollet-Montgriffon;7;Rural à habitat très dispersé;119;0,0;0,0;0,0;0,0;0,0;0,0;100,0
01279;Oncieu;6;Rural à habitat dispersé;97;0,0;0,0;0,0;0,0;0,0;73,3;26,7
01280;Ordonnaz;6;Rural à habitat dispersé;154;0,0;0,0;0,0;0,0;0,0;58,0;42,0
